Species,Model,N,Year,Region,Canopy Openness,Canopy Openness^2,Fungus:Bacteria,Fungus:Bacteria^2,Carbon:Nitrogen,Carbon:Nitrogen^2,Water Holding Capacity,Water Holding Capacity^2,Summer Maximum Soil Temperature,Summer Minimum Soil Moisture,Winter Minimum Soil Temperature,Winter Minimum Soil Temperature^2,Spring Days with Snow,Spring Days with Snow^2
Abies lasiocarpa,recruitment probability,174, ,+,-, ,-, ,+, ,-,-,NA,NA,+, ,+, 
Abies lasiocarpa,number of recruits,10, , , , , , ,+, , , ,NA,NA, , , , 
Anemone occidentalis,recruitment probability,174, ,+,-, ,-, ,-, , , ,NA,NA,+, ,+, 
Anemone occidentalis,number of recruits,10, , , , ,+, ,-, , , ,NA,NA, , , , 
Eriophyllum lanatum,recruitment probability,165, ,+,-, , , ,-, ,+, ,NA,+, , , , 
Eriophyllum lanatum,number of recruits*,8, , , , , , , , , , ,NA,NA, , , , 
Erigeron peregrinus,recruitment probability,174, ,+,-,-,+, ,-, , , ,NA,NA,+, ,+, 
Erigeron peregrinus,number of recruits,23, , ,+, ,-,-, , ,+, ,NA,NA, , , , 
Erigeron peregrinus,1-yr survival,31,+, ,+, , , ,-, , , ,NA,NA, , ,+, 
Erigeron peregrinus,2-yr survival,28, ,+,-, ,-, , , , , ,NA,NA,-, ,+, 
Lupinus latifolius,recruitment probability,174, ,-,+, ,+, , , ,+, ,NA,NA, , ,+, 
Lupinus latifolius,number of recruits,30, ,+,+, ,-, , , , , ,NA,NA,+, ,+, 
Lupinus latifolius,1-yr survival,33, , ,+,-,-, , , ,+, ,NA,NA,+, ,+, 
Lupinus latifolius,2-yr survival,28, ,+, , ,-, , , , , ,NA,NA, , , , 
Mahonia aquifolium,recruitment probability,174, ,+,-, ,-, ,-, ,-, ,NA,NA,+,+,-, 
Mahonia aquifolium,number of recruits,8, , , , , , ,+, ,+, ,NA,NA, , , , 
Mahonia nervosa,recruitment probability,165, ,-,-, ,-, ,-, ,-, ,+,-,+, ,-,+
Mahonia nervosa,number of recruits,9, , , , , , , , ,+, ,,, , , , 
Picea engelmannii,recruitment probability,173, ,-,-, ,-, ,-,-, , ,NA,NA,+, ,+,-
Picea engelmannii,number of recruits,11, , , , , , , , , , ,NA,NA,-, , , 
Rubus ursinus,recruitment probability,171, ,-,-, , , ,-, ,+, ,NA,NA,+, , , 
Rubus ursinus,number of recruits,33, , , , , , ,-, ,+, ,NA,NA, , , , 
Rubus ursinus,1-yr survival,39, ,-,+, ,+, ,+, , , ,,, , , , 
Rubus ursinus,2-yr survival*,28, ,+, , ,+, , , , , ,,-, , , , 
Sorbus sitchensis,recruitment probability,173, ,-,+, ,-, ,+, , , ,NA,NA,+, ,+, 
Sorbus sitchensis,number of recruits,76, ,+,+,-,-, ,+, ,0, ,NA,NA,-, ,+, 
Sorbus sitchensis,1-yr survival,92,+,-,-,-, , ,+, , , ,NA,NA,+, ,+,-
Sorbus sitchensis,2-yr survival,100, ,-,+,-,-,-,-, ,-,+,NA,NA,-, ,+, 
Tellima grandiflora,recruitment probability,170, ,+,-, ,-, ,-, ,-, ,NA,NA,+,+,+, 
Tellima grandiflora,number of recruits,29, ,-,+, ,+, , , ,-,+,NA,NA,+, , , 
Tellima grandiflora,1-yr survival,57,+, ,-, , , ,-,-,+, ,NA,NA,-, ,+, 
Tellima grandiflora,2-yr survival,46, , ,-, ,+, ,+, , , ,NA,NA,-, , , 
Tolmiea menziesii,recruitment probability,171, , ,-, ,-, ,-, ,-, ,NA,NA,+, ,+, 
Tolmiea menziesii,number of recruits,33, ,-, , ,-, ,-, , , ,NA,NA, , , , 
Tolmiea menziesii,1-yr survival,53, ,+,-, , , ,-, ,+,-,NA,NA,-, , , 
Tolmiea menziesii,2-yr survival*,32, , , , ,-, ,-, , , ,NA,NA, , , , 
Vaccinium deliciosum,recruitment probability,174, ,-,-,-,-, , , , , ,NA,NA,+, ,+, 
Vaccinium deliciosum,number of recruits,24, , , , , , ,-, ,-, ,NA,NA, , , , 
Vaccinium deliciosum,1-yr survival,26, ,-,+, ,+, ,+, , , ,NA,NA, , , , 
Vaccinium parvifolium,recruitment probability,174, ,-,+, ,-, ,-, , , ,NA,NA,+, ,-,-
Vaccinium parvifolium,number of recruits,43, , , , , , , , ,+, ,NA,NA, , , , 
Vaccinium parvifolium,1-yr survival,43,-,+,-, ,+, ,+, ,+, ,NA,NA,-, ,-, 
