"species","type","N","regionRP","canopycont","f_b","whc","c_n","t1_avgmax","tmoist_avgmin","winteravgmn","springtotalsnow","(Intercept)","poly(springtotalsnow, 2)1","poly(springtotalsnow, 2)2","R2","poly(whc, 2)1","poly(whc, 2)2","poly(canopycont, 2)1","poly(canopycont, 2)2","poly(c_n, 2)1","poly(c_n, 2)2","poly(winteravgmn, 2)1","poly(winteravgmn, 2)2"
"MAHNER","bin","165","-3.05","-0.05","-0.02","-0.17","-0.04","0.02","-0.67","0.48",NA,"-3.08","-6.67","15.52","0.01-0.02",NA,NA,NA,NA,NA,NA,NA,NA
"ERILAN","bin","165","19.06","-0.08",NA,"0.6","-0.14",NA,"0.06",NA,NA,"-21.15",NA,NA,"0-0.01",NA,NA,NA,NA,NA,NA,NA,NA
"VACPAR","bin","174","-4.79","0.26","-0.06",NA,"-0.07",NA,NA,"0.01",NA,"-0.18","-10.79","-8.49","0.13-0.14",NA,NA,NA,NA,NA,NA,NA,NA
"LUPLAT","bin","174","-0.03","0.29","0.02","0.04",NA,NA,NA,NA,"0.63","-1.73",NA,NA,"0-0.01",NA,NA,NA,NA,NA,NA,NA,NA
"ABILAS","bin","174","1.76","-0.05","-0.12",NA,"0.49",NA,NA,"0.33","0.06","-4.26",NA,NA,"0-0.01","-3.44","-4.83",NA,NA,NA,NA,NA,NA
"ANEOCC","bin","174","2.06","-0.01","-0.05",NA,"-0.08",NA,NA,"0.03","0.77","-4.58",NA,NA,"0-0.01",NA,NA,NA,NA,NA,NA,NA,NA
"ERIPER","bin","174","0.21",NA,"0.05",NA,"-0.22",NA,NA,"0.24","0.26","-2.33",NA,NA,"0-0.01",NA,NA,"-9.47","-13.97",NA,NA,NA,NA
"PICENG","bin","173","-0.03","-0.04","-0.02",NA,NA,NA,NA,"0.07",NA,"-3.23","3.16","-12.28","0-0",NA,NA,NA,NA,"-9.43","-3.83",NA,NA
"RUBURS","bin","171","-0.38","-0.06",NA,"0.09","-0.01",NA,NA,"0.98",NA,"-1.56",NA,NA,"0.02-0.03",NA,NA,NA,NA,NA,NA,NA,NA
"SORSIT","bin","173","-0.69","0.04","-0.03",NA,"0.13",NA,NA,"0.52","0.7","0",NA,NA,"0.02-0.03",NA,NA,NA,NA,NA,NA,NA,NA
"TELGRA","bin","170","1.8","-0.83","-0.25","-0.02","-0.78",NA,NA,NA,"0.09","-3.21",NA,NA,"0.05-0.06",NA,NA,NA,NA,NA,NA,"17.89","0.42"
"TOLMEN","bin","171",NA,"-1.16","-0.39","-0.48","-1.94",NA,NA,"1.69","0.82","-3",NA,NA,"0.16-0.17",NA,NA,NA,NA,NA,NA,NA,NA
"VACDEL","bin","174","-2.84",NA,"-0.18",NA,NA,NA,NA,"0.25","0.01","-1.32",NA,NA,"0.02-0.03",NA,NA,"-9.58","-12.59",NA,NA,NA,NA
"MAHAQU","bin","174","0.24","-0.03","-0.42","-0.1","-0.06",NA,NA,NA,"-0.1","-3.43",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,"3.52","1.87"
